"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\E3V2_Rebuild.SLDASM",".SLDASM","28.018","7/15/2026 3:26:30 PM"
"CAD\Electronics\BTT E3 SKR MINI V3.0.SLDPRT",".SLDPRT","25.456","5/8/2026 3:33:43 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!!Sprite Extruder v3.iges.SLDASM",".SLDASM","0.028","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!!Sprite Extruder v3.SLDASM",".SLDASM","0.026","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges-1.SLDASM",".SLDASM","0.025","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges-2.SLDASM",".SLDASM","0.026","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!01 MAIN ASM Ender_3_ASM Roller X-Axis v1.iges.SLDASM",".SLDASM","0.026","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!CR-Touch-Dummy v15-1.iges.SLDPRT",".SLDPRT","0.168","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\!CR-Touch-Dummy v15.iges.SLDASM",".SLDASM","0.024","5/8/2026 3:16:23 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mm_Square_Extrusion_340mm.SLDPRT",".SLDPRT","0.11","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mm_Square_Extrusion_350mm.SLDPRT",".SLDPRT","0.112","5/8/2026 3:16:19 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mmX40mm_Rect_Extrusion_262mm.SLDPRT",".SLDPRT","0.082","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\20mmX40mm_Rect_Extrusion_424mm.SLDPRT",".SLDPRT","0.082","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\30X30X10 radial blower fan v1.iges.SLDPRT",".SLDPRT","0.183","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\40mm_Square_Extrusion-L.SLDPRT",".SLDPRT","0.153","5/8/2026 3:16:26 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\40mm_Square_Extrusion-R.SLDPRT",".SLDPRT","0.15","5/8/2026 3:16:26 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\625pillow.iges.SLDPRT",".SLDPRT","0.361","5/8/2026 3:16:21 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed Screw Knob.SLDPRT",".SLDPRT","0.392","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed Spring.SLDPRT",".SLDPRT","0.05","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed_Mounting_Bracket.SLDPRT",".SLDPRT","0.125","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed.SLDPRT",".SLDPRT","0.601","5/8/2026 3:16:16 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Creality 43-34 Motor.SLDPRT",".SLDPRT","0.063","5/8/2026 3:16:25 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Drawer.SLDPRT",".SLDPRT","0.069","5/8/2026 3:16:24 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Duct.iges.SLDPRT",".SLDPRT","0.112","5/8/2026 3:16:20 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_assembled.SLDASM.SLDASM",".SLDASM","10.426","5/8/2026 3:16:27 PM"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_base.SLDASM",".SLDASM","0.027","5/8/2026 3:16:26 PM"
